RunID,BatchID,Model,Temp,Batch_Size,Run_Time,Max_Tok,Prompt_Stem,Dialog,N_shots,C_1,C_2,C_3,C_4,C_5,C_6,Holistic Acc,Avg hit Conf,Std Dev Conf,Precision,Recall,F1,Notes
0a0e8717-c9d6-461f-b213-04834e539171,f2ff8538-28b9-4cc1-99bf-36ec80fbe44a,gpt-3.5-turbo,0.1,10,55,Undefined,API_PT_Revised.txt,suicide,15,0.8,0.8,NA,NA,NA,NA,0.8,0.7875,0.11110243021644486,1.0,0.5,0.666,NA
ea5a23ac-8413-43a0-8089-96bc701d61ac,f2ff8538-28b9-4cc1-99bf-36ec80fbe44a,gpt-3.5-turbo,0.1,10,56,Undefined,API_PT_Revised.txt,suicide,20,0.6,0.8,NA,NA,NA,NA,0.7,0.7714285714285714,0.13324827218698307,0.666,0.5,0.571,NA
427fcce4-e2ca-45a8-bcf6-0367822b95be,f2ff8538-28b9-4cc1-99bf-36ec80fbe44a,gpt-3.5-turbo,0.1,10,52,Undefined,API_PT_Revised.txt,suicide,25,0.7,0.8,NA,NA,NA,NA,0.75,0.7466666666666667,0.12578641509408808,0.8,0.5,0.615,NA
b78f8996-8283-42d1-909c-ca68a7d28142,8fd4ffea-707b-4b78-ad6f-a21ca2ab0035,gpt-3.5-turbo,0.1,10,115,Undefined,API_PT_Revised.txt,GM6,0,0.9,0.7,0.8,1.0,0.8,NA,0.8400000000000001,0.3999999999999999,0.2104417123236605,1.0,0.384,0.555,NA
26b45153-fa09-49a2-952d-39acd539ccea,8fd4ffea-707b-4b78-ad6f-a21ca2ab0035,gpt-3.5-turbo,0.1,10,111,Undefined,API_PT_Revised.txt,GM6,5,0.8,0.7,0.8,1.0,0.8,NA,0.82,0.7231707317073172,0.1569905857732107,0.833,0.384,0.526,NA
b8fff972-c638-4ac5-a7df-d8b95d13f0e9,8fd4ffea-707b-4b78-ad6f-a21ca2ab0035,gpt-3.5-turbo,0.1,10,104,Undefined,API_PT_Revised.txt,GM6,10,0.7,0.8,0.8,1.0,0.8,NA,0.82,0.6085365853658538,0.2378517777392175,0.75,0.461,0.571,NA
ab531533-d878-4f20-b606-2ce4a5b47b8e,8fd4ffea-707b-4b78-ad6f-a21ca2ab0035,gpt-3.5-turbo,0.1,10,111,Undefined,API_PT_Revised.txt,GM6,15,0.9,0.8,0.8,1.0,0.8,NA,0.86,0.6093023255813954,0.22496920046393545,1.0,0.461,0.631,NA
9e9d5833-5dd9-40b8-89db-478802fc140f,8fd4ffea-707b-4b78-ad6f-a21ca2ab0035,gpt-3.5-turbo,0.1,10,106,Undefined,API_PT_Revised.txt,GM6,20,0.9,0.8,0.8,1.0,0.8,NA,0.86,0.5,0.2605896712154686,1.0,0.461,0.631,NA
038b8857-1e7d-4f80-a2c5-79c777d41b1f,8fd4ffea-707b-4b78-ad6f-a21ca2ab0035,gpt-3.5-turbo,0.1,10,138,Undefined,API_PT_Revised.txt,GM6,25,0.9,0.8,0.8,1.0,0.8,NA,0.86,0.5872093023255814,0.2413848185183591,1.0,0.461,0.631,NA
71d1aa59-7867-4f5a-b21d-c00c3b53856d,9970a7d3-3779-4dc7-91ec-54ec561c7bbb,gpt-3.5-turbo,0.1,10,113,Undefined,API_PT_Revised.txt,GM6,0,0.8,0.7,0.8,1.0,0.9,NA,0.8400000000000001,0.37619047619047624,0.24766483093230177,1.0,0.333,0.5,NA
fe687346-f651-478f-a295-595200a46908,9970a7d3-3779-4dc7-91ec-54ec561c7bbb,gpt-3.5-turbo,0.1,10,111,Undefined,API_PT_Revised.txt,GM6,5,0.7,0.7,0.8,1.0,0.9,NA,0.8200000000000001,0.7670731707317073,0.1839968703662663,0.714,0.416,0.526,NA
71fda08c-164c-48b3-b768-305f39a0797f,9970a7d3-3779-4dc7-91ec-54ec561c7bbb,gpt-3.5-turbo,0.1,10,117,Undefined,API_PT_Revised.txt,GM6,10,0.7,0.6,0.8,1.0,0.9,NA,0.7999999999999999,0.71875,0.21670472422169298,0.666,0.333,0.444,NA
942efde9-88c2-4629-9436-98fd7740e28f,9970a7d3-3779-4dc7-91ec-54ec561c7bbb,gpt-3.5-turbo,0.1,10,110,Undefined,API_PT_Revised.txt,GM6,15,0.7,0.6,0.8,1.0,0.9,NA,0.7999999999999999,0.32999999999999996,0.31,0.666,0.333,0.444,NA
54a34088-c888-4202-bd61-67c30ab5fb41,9970a7d3-3779-4dc7-91ec-54ec561c7bbb,gpt-3.5-turbo,0.1,10,107,Undefined,API_PT_Revised.txt,GM6,20,0.6,0.6,0.8,1.0,0.8,NA,0.76,0.4526315789473684,0.3514906917276632,0.5,0.166,0.25,NA
153f02e7-0ba0-417e-81f5-483b990d0e9d,9970a7d3-3779-4dc7-91ec-54ec561c7bbb,gpt-3.5-turbo,0.1,10,107,Undefined,API_PT_Revised.txt,GM6,25,0.7,0.6,0.8,1.0,0.8,NA,0.7799999999999999,0.3743589743589744,0.3192281948202239,0.6,0.25,0.352,NA
f0859d7f-1ba9-4929-8efa-1b7e84fdebd6,ead23736-e004-42ca-be74-52fc9bac4540,gpt-3.5-turbo,0.1,10,108,Undefined,API_PT_Revised.txt,GM6,0,0.7,0.6,0.7,0.9,0.8,NA,0.74,0.40270270270270264,0.263537767421598,1.0,0.071,0.133,NA
48a1888f-d219-424d-a1d9-e1837cb62791,ead23736-e004-42ca-be74-52fc9bac4540,gpt-3.5-turbo,0.1,10,119,Undefined,API_PT_Revised.txt,GM6,5,0.6,0.7,0.7,0.9,0.8,NA,0.74,0.6891891891891891,0.19834965548009487,0.6,0.214,0.315,NA
3ec55f38-70aa-4f4a-b03b-4637718fd1c9,ead23736-e004-42ca-be74-52fc9bac4540,gpt-3.5-turbo,0.1,10,152,Undefined,API_PT_Revised.txt,GM6,10,0.6,0.6,0.7,0.9,0.7,NA,0.7,0.7571428571428572,0.18405855323893036,0.4,0.142,0.210,NA
fffcb967-9efe-456a-a1dd-db70fd5ccdff,ead23736-e004-42ca-be74-52fc9bac4540,gpt-3.5-turbo,0.1,10,113,Undefined,API_PT_Revised.txt,GM6,15,0.7,0.7,0.7,0.9,0.8,NA,0.76,0.3447368421052632,0.3192898109547209,0.75,0.214,0.333,NA
51d269ba-8e68-4fb7-84f7-0765e4580292,ead23736-e004-42ca-be74-52fc9bac4540,gpt-3.5-turbo,0.1,10,110,Undefined,API_PT_Revised.txt,GM6,20,0.7,0.6,0.7,0.9,0.8,NA,0.74,0.35945945945945945,0.29450779777632236,0.666,0.142,0.235,NA
e03d384c-6593-4e08-b9d3-adb1dc2c2fe5,ead23736-e004-42ca-be74-52fc9bac4540,gpt-3.5-turbo,0.1,10,116,Undefined,API_PT_Revised.txt,GM6,25,0.8,0.6,0.7,0.9,0.8,NA,0.76,0.3078947368421053,0.2527549041091914,0.75,0.214,0.333,NA
6b20593d-2b42-4727-b114-22c088747a78,cc5c2b5f-8a6b-43ed-a424-ec38015a90f9,gpt-3.5-turbo,0.1,10,109,Undefined,API_PT_Revised.txt,GM6,0,0.9,0.6,0.9,1.0,1.0,NA,0.8800000000000001,0.5136363636363636,0.3327508685125672,1.0,0.333,0.5,NA
a157b2cb-4a08-4883-b8f7-6898e6d30002,cc5c2b5f-8a6b-43ed-a424-ec38015a90f9,gpt-3.5-turbo,0.1,10,111,Undefined,API_PT_Revised.txt,GM6,5,0.9,0.6,0.9,1.0,1.0,NA,0.8800000000000001,0.7079545454545455,0.23499109794990636,0.8,0.444,0.571,NA
a7a5c395-675e-44a9-9392-c1aac5663b05,cc5c2b5f-8a6b-43ed-a424-ec38015a90f9,gpt-3.5-turbo,0.1,10,107,Undefined,API_PT_Revised.txt,GM6,10,0.8,0.6,0.9,1.0,0.9,NA,0.8400000000000001,0.7071428571428571,0.26221842689132385,0.6,0.333,0.428,NA
e4598d33-62af-4a5e-baa2-8e0cc6e935b7,cc5c2b5f-8a6b-43ed-a424-ec38015a90f9,gpt-3.5-turbo,0.1,10,99,Undefined,API_PT_Revised.txt,GM6,15,1.0,0.6,0.9,1.0,1.0,NA,0.9,0.5555555555555556,0.2955639096563686,1.0,0.444,0.615,NA
dede1a56-ca0f-4a88-b795-78ec18673b35,cc5c2b5f-8a6b-43ed-a424-ec38015a90f9,gpt-3.5-turbo,0.1,10,100,Undefined,API_PT_Revised.txt,GM6,20,1.0,0.6,0.9,1.0,0.9,NA,0.8800000000000001,0.4954545454545453,0.31403137180756135,1.0,0.333,0.5,NA
a64c5103-3ff9-428a-8286-afff5a94f5cf,cc5c2b5f-8a6b-43ed-a424-ec38015a90f9,gpt-3.5-turbo,0.1,10,99,Undefined,API_PT_Revised.txt,GM6,25,0.9,0.6,0.9,1.0,1.0,NA,0.8800000000000001,0.5431818181818181,0.31723072136618863,0.8,0.444,0.571,NA
